<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20200106,190000,61.8089000,61.8400000,61.7203000,61.7840000,5921
20200106,191500,61.7850000,61.8240000,61.7110000,61.7880000,8202
20200106,193000,61.7400000,61.8050000,61.7282000,61.7763000,7135
20200106,194500,61.7310000,61.7864000,61.6780000,61.7777000,5233
20200106,200000,61.7839000,61.8112000,61.7150000,61.8088000,4512
20200106,201500,61.8087000,61.8300000,61.7580000,61.8173000,2692
20200106,203000,61.8283000,61.8690000,61.7759000,61.8328000,3096
20200106,204500,61.8320000,61.8490000,61.7360000,61.8060000,3568
20200106,210000,61.8187000,61.8266000,61.7340000,61.7400000,5093
20200106,211500,61.7400000,61.7904000,61.6980000,61.7480000,4812
20200106,213000,61.7478000,61.7670000,61.6870000,61.7611000,5111
20200106,214500,61.7150000,61.7740000,61.7020000,61.7565000,4663
20200106,220000,61.7565000,61.7666000,61.7030000,61.7535000,4240
20200106,221500,61.7535000,61.8010000,61.7010000,61.7787000,4514
20200106,223000,61.7780000,61.8050000,61.7220000,61.7949000,4021
20200106,224500,61.8078000,61.8111000,61.7460000,61.7890000,2321
20200106,230000,61.7990000,61.8128000,61.7250000,61.7894000,3666
20200106,231500,61.7891000,61.8010000,61.7290000,61.7895000,2396
20200106,233000,61.7863000,61.8184000,61.7350000,61.8170000,2266
20200106,234500,61.8170000,61.8214000,61.7630000,61.8170000,2077
20200107,000000,61.8172000,61.8390000,61.7340000,61.7653000,1795
20200107,001500,61.7690000,61.7800000,61.7160000,61.7343000,544
20200107,003000,61.7378000,61.7556000,61.7160000,61.7410000,348
20200107,004500,61.7541000,61.8200000,61.7290000,61.7420000,620
20200107,010000,61.7835000,61.8458000,61.7360000,61.7630000,624
20200107,011500,61.7665000,61.8080000,61.7610000,61.7757000,60
20200107,013000,61.8070000,61.8070000,61.7512000,61.7816000,181
20200107,014500,61.7851000,61.7970000,61.7640000,61.7840000,216
20200107,020000,61.7815000,61.7942000,61.7690000,61.7840000,209
20200107,021500,61.7814000,61.8150000,61.7760000,61.8125000,218
20200107,023000,61.8101000,61.8190000,61.7812000,61.8085000,37
20200107,024500,61.7726000,61.8237000,61.7726000,61.8160000,125
20200107,030000,61.8160000,61.8221000,61.7814000,61.8106000,228
20200107,031500,61.8165000,61.8201000,61.7880000,61.8103000,162
20200107,033000,61.7814000,61.8201000,61.7814000,61.8120000,115
20200107,034500,61.7890000,61.8183000,61.7880000,61.7983000,118
20200107,040000,61.7914000,61.8153000,61.7893000,61.7973000,20
20200107,041500,61.7966000,61.8173000,61.7926000,61.8011000,29
20200107,043000,61.8156000,61.8222000,61.7795000,61.7890000,179
20200107,044500,61.7880000,61.8195000,61.7880000,61.7890000,163
20200107,050000,61.7774000,61.8178000,61.7774000,61.7880000,147
20200107,051500,61.8167000,61.8214000,61.7871000,61.8156000,180
20200107,053000,61.8190000,61.8202000,61.7880000,61.7890000,189
20200107,054500,61.7917000,61.8200000,61.7880000,61.7880000,179
20200107,060000,61.8163000,61.8257000,61.7860000,61.7860000,216
20200107,061500,61.8206000,61.8206000,61.7860000,61.7860000,171
20200107,063000,61.7898000,61.8075000,61.7860000,61.7890000,177
20200107,064500,61.7984000,61.8202000,61.7880000,61.8057000,165
20200107,070000,61.8031000,61.8203000,61.7880000,61.7880000,142
20200107,071500,61.8183000,61.8186000,61.7880000,61.7880000,174
20200107,073000,61.7945000,61.8203000,61.7860000,61.7860000,84
20200107,074500,61.7966000,61.8208000,61.7860000,61.7860000,175
20200107,080000,61.8141000,61.8194000,61.7860000,61.8079000,72
20200107,081500,61.8205000,61.8205000,61.7960000,61.8045000,17
20200107,083000,61.8220000,61.8220000,61.7956000,61.8029000,19
20200107,084500,61.7969000,61.8070000,61.7962000,61.8070000,17
20200107,090000,61.7961000,61.8201000,61.7820000,61.7870000,22
20200107,091500,61.7866000,61.8327000,61.7800000,61.7957000,257
20200107,093000,61.8168000,61.8180000,61.7800000,61.7982000,226
20200107,094500,61.7986000,61.8128000,61.7670000,61.7670000,314
20200107,100000,61.8000000,61.8300000,61.7670000,61.8070000,526
20200107,101500,61.7760000,61.8200000,61.7450000,61.7500000,771
20200107,103000,61.7811000,61.8300000,61.6915000,61.7565000,1265
20200107,104500,61.7476000,61.8350000,61.7197000,61.8216000,1581
20200107,110000,61.8330000,61.8330000,61.7400000,61.7697000,1071
20200107,111500,61.7697000,61.7900000,61.7000000,61.7400000,1476
20200107,113000,61.7586000,61.7700000,61.7100000,61.7430000,938
20200107,114500,61.7623000,61.7650000,61.6790000,61.7173000,1346
20200107,120000,61.7120000,61.7307000,61.5600000,61.6732000,3336
20200107,121500,61.6744000,61.7000000,61.5910000,61.6630000,1962
20200107,123000,61.6719000,61.6790000,61.6000000,61.6514000,1031
20200107,124500,61.6620000,61.6899000,61.5800000,61.6188000,1061
20200107,130000,61.6413000,61.6450000,61.5640000,61.6232000,1072
20200107,131500,61.6547000,61.7192000,61.5790000,61.6700000,1861
20200107,133000,61.7113000,61.7963000,61.6585000,61.7900000,1490
20200107,134500,61.8000000,61.8800000,61.7500000,61.8664000,1534
20200107,140000,61.8906000,61.8906000,61.8140000,61.8514000,952
20200107,141500,61.8650000,61.8724000,61.8000000,61.8400000,1061
20200107,143000,61.8484000,61.8633000,61.8000000,61.8310000,943
20200107,144500,61.8407000,61.8874000,61.8000000,61.8440000,1373
20200107,150000,61.8675000,61.9100000,61.8373000,61.8800000,994
20200107,151500,61.9050000,61.9200000,61.8700000,61.8900000,792
20200107,153000,61.9151000,61.9400000,61.8700000,61.9283000,958
20200107,154500,61.9250000,61.9650000,61.9000000,61.9645000,714
20200107,160000,61.9625000,62.0421000,61.9120000,62.0100000,1246
20200107,161500,62.0316000,62.0373000,61.9290000,61.9742000,1615
20200107,163000,61.9600000,61.9850000,61.8848000,61.9410000,1748
20200107,164500,61.9512000,62.0100000,61.9000000,62.0031000,1626
20200107,170000,62.0099000,62.0619000,61.9640000,62.0437000,1548
20200107,171500,62.0437000,62.0582000,61.9703000,62.0314000,2091
20200107,173000,62.0314000,62.0810000,61.9790000,62.0771000,2773
20200107,174500,62.0771000,62.1018000,62.0300000,62.0747000,1491
20200107,180000,62.0894000,62.1176000,62.0130000,62.0517000,2197
20200107,181500,62.0370000,62.0927000,61.9441000,61.9760000,2933
20200107,183000,62.0056000,62.0298000,61.9252000,61.9711000,2828
20200107,184500,61.9905000,61.9919000,61.8890000,61.9713000,3182
20200107,190000,61.9778000,62.0116000,61.9423000,61.9650000,2058
20200107,191500,61.9823000,62.0110000,61.9400000,62.0000000,1911
20200107,193000,61.9990000,62.0378000,61.9500000,62.0320000,1000
20200107,194500,62.0342000,62.0360000,61.9538000,62.0021000,1234
20200107,200000,62.0159000,62.0200000,61.9627000,62.0113000,905
20200107,201500,62.0151000,62.0304000,61.9670000,62.0230000,719
20200107,203000,62.0247000,62.0378000,61.9644000,62.0069000,1020
20200107,204500,62.0221000,62.0256000,61.9560000,61.9896000,666
20200107,210000,61.9867000,62.0040000,61.9233000,61.9810000,1161
20200107,211500,62.0000000,62.0000000,61.9442000,61.9740000,553
20200107,213000,62.0025000,62.0025000,61.9192000,61.9670000,681
