<TIME>,USD/RUB,<LAST>
001417,USD/RUB,61.545400000
001417,USD/RUB,61.535000000
001419,USD/RUB,61.544700000
001419,USD/RUB,61.545400000
001421,USD/RUB,61.544700000
001421,USD/RUB,61.545400000
001427,USD/RUB,61.544700000
001428,USD/RUB,61.545400000
001430,USD/RUB,61.544600000
001430,USD/RUB,61.545300000
001437,USD/RUB,61.535000000
001438,USD/RUB,61.535000000
001441,USD/RUB,61.535000000
001443,USD/RUB,61.535000000
001457,USD/RUB,61.535000000
001500,USD/RUB,61.559500000
001508,USD/RUB,61.535000000
001509,USD/RUB,61.510000000
001517,USD/RUB,61.544600000
001517,USD/RUB,61.535000000
001518,USD/RUB,61.535000000
001518,USD/RUB,61.543900000
001520,USD/RUB,61.544600000
001520,USD/RUB,61.535000000
001521,USD/RUB,61.535000000
001522,USD/RUB,61.545200000
001522,USD/RUB,61.535000000
001541,USD/RUB,61.535000000
001542,USD/RUB,61.535000000
001602,USD/RUB,61.535000000
001608,USD/RUB,61.535000000
001609,USD/RUB,61.507500000
001617,USD/RUB,61.555000000
001617,USD/RUB,61.553900000
001618,USD/RUB,61.530000000
001618,USD/RUB,61.553400000
001618,USD/RUB,61.538500000
001619,USD/RUB,61.555000000
001619,USD/RUB,61.537500000
001620,USD/RUB,61.555000000
001620,USD/RUB,61.557000000
001621,USD/RUB,61.570000000
001622,USD/RUB,61.567000000
001623,USD/RUB,61.555000000
001627,USD/RUB,61.571000000
001637,USD/RUB,61.555000000
001639,USD/RUB,61.537500000
001639,USD/RUB,61.555000000
001639,USD/RUB,61.540000000
001643,USD/RUB,61.547500000
001652,USD/RUB,61.547000000
001653,USD/RUB,61.570000000
001659,USD/RUB,61.555000000
001719,USD/RUB,61.553700000
001719,USD/RUB,61.550000000
001719,USD/RUB,61.555000000
001719,USD/RUB,61.554200000
001719,USD/RUB,61.549000000
001720,USD/RUB,61.570000000
001721,USD/RUB,61.555000000
001739,USD/RUB,61.555000000
001742,USD/RUB,61.555000000
001742,USD/RUB,61.554700000
001743,USD/RUB,61.539000000
001743,USD/RUB,61.555000000
001744,USD/RUB,61.570000000
001744,USD/RUB,61.555000000
001801,USD/RUB,61.555000000
001802,USD/RUB,61.555000000
001818,USD/RUB,61.555000000
001819,USD/RUB,61.549000000
001820,USD/RUB,61.570000000
001822,USD/RUB,61.537500000
001822,USD/RUB,61.555000000
001822,USD/RUB,61.553600000
001823,USD/RUB,61.537000000
001824,USD/RUB,61.570000000
001828,USD/RUB,61.555000000
001828,USD/RUB,61.547000000
001830,USD/RUB,61.570000000
001842,USD/RUB,61.555000000
001845,USD/RUB,61.555000000
001845,USD/RUB,61.554400000
001849,USD/RUB,61.555000000
001858,USD/RUB,61.548000000
001859,USD/RUB,61.570000000
001905,USD/RUB,61.555000000
001925,USD/RUB,61.555000000
001945,USD/RUB,61.555000000
001949,USD/RUB,61.555000000
001958,USD/RUB,61.547000000
001959,USD/RUB,61.570000000
002000,USD/RUB,61.566900000
002004,USD/RUB,61.544000000
002005,USD/RUB,61.570000000
002005,USD/RUB,61.555000000
002007,USD/RUB,61.555000000
002007,USD/RUB,61.532500000
002007,USD/RUB,61.553400000
002008,USD/RUB,61.546000000
002008,USD/RUB,61.555000000
002010,USD/RUB,61.570000000
002019,USD/RUB,61.547000000
002021,USD/RUB,61.570000000
002023,USD/RUB,61.555000000
002027,USD/RUB,61.555000000
002037,USD/RUB,61.555000000
002047,USD/RUB,61.555000000
002056,USD/RUB,61.555000000
002107,USD/RUB,61.555000000
002118,USD/RUB,61.532500000
002118,USD/RUB,61.555000000
002118,USD/RUB,61.553200000
002138,USD/RUB,61.555000000
002146,USD/RUB,61.555000000
002158,USD/RUB,61.555000000
002207,USD/RUB,61.532500000
002207,USD/RUB,61.555000000
002207,USD/RUB,61.553100000
002213,USD/RUB,61.570000000
002227,USD/RUB,61.555000000
002238,USD/RUB,61.555000000
002247,USD/RUB,61.555000000
002254,USD/RUB,61.553300000
002305,USD/RUB,61.553600000
002307,USD/RUB,61.555000000
002307,USD/RUB,61.532500000
